address,score,amount,category
io18wk0hhs2f5auxg8yw82za4gj8qgkz3hd6thsw5,100,847864793827544192,earlybird
io1pv582k5j6gvrucyd5znz0qqjx986fply6zeypj,50,423932396913772096,earlybird
io1g4hzhegk6q0cgwfg6uxus527f47v4pd3lkvetx,50,423932396913772096,earlybird
io194gc9e9c6dnvx5p8u2engq5m20x4z6nuu27ej0,50,423932396913772096,earlybird
io1swg5jwwushllys78yx27m2ah53plq5e6j343ca,50,423932396913772096,earlybird
io1r6wp3zpx0m63a4aew533m0ujvmwj4sf4wl5u83,50,423932396913772096,earlybird
io1fgtnlc3c5auhanhx96wmdnp3wxmmlsxujnu3h2,50,423932396913772096,earlybird
io1rjcvqzzxv34za0j4tnnnvvywydatwmmqy2ueha,50,423932396913772096,earlybird
io1nw8nsy676epkrfw06acxgr0rrpl6xgdcs3zz9z,50,423932396913772096,earlybird
io1vkv75de3x5fqpee7hwwrt22ftp80et9k2nqfsq,50,423932396913772096,earlybird
io1vfnzgvh63h23zs0fa6s7ckkwzraf64xcw588gc,50,423932396913772096,earlybird
io1gc3lsgcxk80vtha80a8e3n2mldnc0ty8y9guut,100,847864793827544192,earlybird
io17q3082pryqg2eamft7xy3vrsaaqj9z2a387xf8,50,423932396913772096,earlybird
io1xa3rdwp80w7jddck8jh5surfrsm7w5g8wnu56m,50,423932396913772096,earlybird
io14rmm2lrddtxcsqdr37dlrmnahhlqlm24cspmt7,50,423932396913772096,earlybird
io1phmquvaquyh8f3wnz85shcex9k30xge7jt77rx,50,423932396913772096,earlybird
io12jv8ph0zkntvz3ep90m6j0j389wjjp9g9qs4tm,50,423932396913772096,earlybird
io1yzplgavq2r6h9khz3j9vs72twnh72q6uxdh2fd,125,1059830992284430208,earlybird
io1qly3s6xcqnsm50zchmmgncplx2p9za7ffe7hlx,100,847864793827544192,earlybird
io1ngatj8z0fpwxk86taungu663kpvrlcm0990t2w,50,423932396913772096,earlybird
io1c7gzz85vfnhhmsmxh4zk7np5katc9squ37ganc,50,423932396913772096,earlybird
io1x650nmmdcg2nk2l28rzxahxjy6k95cvc65urq2,50,423932396913772096,earlybird
io1qpl22mlx5ze7xptguf8nr8phc2edrlgu7y7vkx,50,423932396913772096,earlybird
io1ap5smf54awc7vngtgzsmvvppswza0y3t0gng90,100,847864793827544192,earlybird
io10pfvnytrfc9j9j4g9a09cs2xay2upd3ykugr90,50,423932396913772096,earlybird
io1sllss30vqj5e2xa9xvuxn694cc6xr4vjv8ph6r,50,423932396913772096,earlybird
io1020xp2zc5h8ufstw7x474ytns362gnutt30r7c,50,423932396913772096,earlybird
io1s84czvd3caztdzaz2pqesn74dqf56yvq5ppcss,50,423932396913772096,earlybird
io1n0cu8ttp7ktuh7jwljtwpm7lcw6lkgnx2wwl4c,50,423932396913772096,earlybird
io1sr72qqy8t32xleqgrq0q4py2wnnl4wdwmjnea7,50,423932396913772096,earlybird
io1ccch8fgrnmkdw9mf7pfnjqkeqhft7t6wywwphe,50,423932396913772096,earlybird
io1hq298r8qxk5pdlkfkguhng0pdds95ptwajx2n0,100,847864793827544192,earlybird
io1vdm0gvk76ndf96euugquxw0qut6ul06wkt5mmg,50,423932396913772096,earlybird
io1ncn64mw3e83gq8mn8fs75afy2dp2l9t8g25p70,50,423932396913772096,earlybird
io1kfdmeg083m2awzl86fckladlgwksxexxp94kkc,50,423932396913772096,earlybird
io1d28g3yfjx24wrn26nlq56paty2hnwwrn9xfa6d,50,423932396913772096,earlybird
io1453zcnvuyvuv35hfy9q357nqs9n7u0tdg3j32f,100,847864793827544192,earlybird
io1s4tdecqcm972u50na5lzrmuyw263pl54exnavx,50,423932396913772096,earlybird
io1shgp88ucfsrqg76maqvt7sky0t3jg0ylf0kydf,100,847864793827544192,earlybird
io13v84m2scy22jn9p8awzuu4te82ea7lrepms6ec,50,423932396913772096,earlybird
io1d3dvm2mm5j4mp54wc93xnde207ukjwvdnguh9z,50,423932396913772096,earlybird
io1uj9gtzdvnzawz3u9sh0wrruxqavpt0v24pku40,50,423932396913772096,earlybird
io16ptffrmwyw8nlldcdmug6978mdehvzrxpmmylp,50,423932396913772096,earlybird
io1d3fepljpphef6nd5f5aly5npl86xc2njke8f04,100,847864793827544192,earlybird
io1u853ar6fk9auwv9zfxq504lyk9kye7ssmf3cwc,50,423932396913772096,earlybird
io1vak6td56av2wkj2dpquqaj4wudn32rhwvtsrtt,50,423932396913772096,earlybird
io1ycz02cnuds9uwmpygv8cksc8s83fxx5ayps2y8,50,423932396913772096,earlybird
io1sycklt0xrp6r0g4ctnwnj2y694hw6w9c73vzj8,50,423932396913772096,earlybird
io1pnf29mjveshhg3p6taallvva95zmsdqg37fm09,50,423932396913772096,earlybird
io1deqad3q65wvzgw27d7344lrtlnk6ed92atfk39,50,423932396913772096,earlybird
